Date,Open..x,High..x,Low..x,Close..x,Open..y,High..y,Low..y,Close..y
6/20/2002,11507.98,11603.09,10893.62,10908.68,4352.31,4371,4199.85,4245.68
6/21/2002,10917.19,11010.05,10298.31,10397.55,4244.24,4312.12,4153.31,4232.4
6/24/2002,10437.96,10813.92,10246.96,10759.08,4233.87,4297.98,4045.52,4127.21
6/25/2002,10773.13,10973.49,10596.67,10705.58,4129.46,4260.09,4129.46,4202.97
6/26/2002,10676.36,10693.51,10430.05,10690.53,4187.12,4187.12,3946.7,4099.05
6/27/2002,10689.6,11013.32,10689.6,11013.32,4103.62,4259.43,4103.62,4259.43
6/28/2002,11017.57,11271.05,11017.57,11139.16,4275.29,4388.27,4275.29,4382.56
7/1/2002,11137.78,11172.81,10853.44,10892.46,4377.1,4443.69,4318.23,4366.81
7/2/2002,10890.84,10908.02,10710.78,10845.63,4359.17,4359.17,4163.8,4195.95
7/3/2002,10854.46,10868.37,10520.42,10635.52,4202.29,4252.49,4101.58,4138.15
7/4/2002,10661.49,10721.44,10593.97,10655.47,4140.43,4258.62,4140.43,4258.62
7/5/2002,10662.68,10667.55,10424.84,10523.65,4268.23,4483.03,4268.23,4483.03
7/8/2002,10524.14,10708.09,10505.65,10687.09,4475.89,4476.15,4393.28,4442.33
7/9/2002,,,,,4445.93,4480.49,4341.85,4369.76
7/10/2002,10689.68,10850.89,10539.1,10555.99,4352.77,4354.23,4188.64,4190.22
